date,cap
9/15/2016,72597.2
9/16/2016,72394.3
9/17/2016,72483.2
9/18/2016,72472.3
9/19/2016,72431.8
9/20/2016,72341.5
9/21/2016,72321.5
9/22/2016,72303.2
9/23/2016,72245.4
9/24/2016,72245.8
9/25/2016,72185.2
9/26/2016,72186.6
9/27/2016,72133.5
9/28/2016,72143.2
9/29/2016,72103.1
9/30/2016,72045.4
10/1/2016,72012.5
10/2/2016,71976.2
10/3/2016,71965.3
10/4/2016,71946
10/5/2016,71936
10/6/2016,71897.3
10/7/2016,71876.3
10/8/2016,71852.9
10/9/2016,71792.5
10/10/2016,71772.1
10/11/2016,71751.9
10/12/2016,71743.5
10/13/2016,71714.8
10/14/2016,71705.2
10/15/2016,71675.2
10/16/2016,71684.4
10/17/2016,71673.5
10/18/2016,71623.2
10/19/2016,71622.8
10/20/2016,71582.4
10/21/2016,71542.2
10/22/2016,71522.6
10/23/2016,71533.8
10/24/2016,71537.7
10/25/2016,71515.7
10/26/2016,71474.6
10/27/2016,71473.6
10/28/2016,71445.6
10/29/2016,71422.4
10/30/2016,71394.6
10/31/2016,71391.9
11/1/2016,71372.2
11/2/2016,71324
11/3/2016,71365.5
11/4/2016,71336
11/5/2016,71355.5
11/6/2016,71314.2
11/7/2016,71295.9
11/8/2016,71192.5
11/9/2016,71232.1
11/10/2016,71191.7
11/11/2016,71181.8
11/12/2016,71154.1
11/13/2016,71165.3
11/14/2016,71185.9
11/15/2016,71128
11/16/2016,71167.4
11/17/2016,71153.5
11/18/2016,71133.1
11/19/2016,71092.6
11/20/2016,71082.5
11/21/2016,71082.2
11/22/2016,71015.1
11/23/2016,70983.1
11/24/2016,71003.6
11/25/2016,70973.2
11/26/2016,70965.3
11/27/2016,70992.7
11/28/2016,70975
11/29/2016,70921.8
11/30/2016,70921.3
12/1/2016,70883.7
12/2/2016,70862.7
12/3/2016,70875.4
12/4/2016,70905.9
12/5/2016,70875.7
12/6/2016,70897.3
12/7/2016,70863.9
12/8/2016,70833.4
12/9/2016,70843.1
12/10/2016,70822.9
12/11/2016,70815.3
12/12/2016,70782.3
12/13/2016,70732.6
12/14/2016,70743.4
12/15/2016,70744.5
12/16/2016,70744.5
12/17/2016,70733.3
12/18/2016,70702.7
12/19/2016,70692.3
12/20/2016,70672.1
12/21/2016,70674.5
12/22/2016,70644.5
12/23/2016,70644.7
12/24/2016,70675.8
12/25/2016,70676
12/26/2016,70645.7
12/27/2016,70634.6
12/28/2016,70603.9
